countryname,code,name,project_name
Africa,39,39,39
Antigua and Barbuda,4,4,4
Arab Republic of Egypt,4,4,4
Argentine Republic,7,7,7
Bosnia and Herzegovina,3,3,3
Burkina Faso,26,26,26
Central African Republic,2,2,2
Democratic Republic of Sao Tome and Prin,7,7,7
Democratic Republic of Timor-Leste,5,5,5
Democratic Republic of the Congo,18,18,18
Democratic Socialist Republic of Sri Lan,4,4,4
East Asia and Pacific,3,3,3
Europe and Central Asia,5,5,5
Federal Democratic Republic of Ethiopia,12,12,12
Federal Republic of Nigeria,22,22,22
Federative Republic of Brazil,41,41,41
Georgia,10,10,10
Hashemite Kingdom of Jordan,18,18,18
Islamic Republic of Mauritania,6,6,6
Islamic Republic of Pakistan,25,25,25
Islamic State of Afghanistan,23,23,23
Jamaica,4,4,4
Kingdom of Bhutan,16,16,16
Kingdom of Cambodia,8,8,8
Kingdom of Lesotho,10,10,10
Kingdom of Morocco,32,32,32
Kingdom of Thailand,3,3,3
Kingdom of Tonga,4,4,4
Kyrgyz Republic,22,22,22
Lao People's Democratic Republic,24,24,24
Lebanese Republic,8,8,8
"Macedonia, former Yugoslav Republic of",11,11,11
Middle East and North Africa,14,14,14
Mongolia,7,7,7
Nepal,29,29,29
Oriental Republic of Uruguay,7,7,7
Pacific Islands,12,12,12
People's Republic of Angola,2,2,2
People's Republic of Bangladesh,41,41,41
People's Republic of China,40,40,40
Plurinational State of Bolivia,8,8,8
Republic of Albania,11,11,11
Republic of Armenia,22,22,22
Republic of Azerbaijan,10,10,10
Republic of Belarus,2,2,2
Republic of Benin,13,13,13
Republic of Burundi,16,16,16
Republic of Cameroon,6,6,6
Republic of Cape Verde,4,4,4
Republic of Chad,2,2,2
Republic of Chile,4,4,4
Republic of Colombia,11,11,11
Republic of Congo,2,2,2
Republic of Costa Rica,2,2,2
Republic of Cote d'Ivoire,13,13,13
Republic of Croatia,6,6,6
Republic of Djibouti,9,9,9
Republic of Ecuador,4,4,4
Republic of Ghana,10,10,10
Republic of Guatemala,7,7,7
Republic of Guinea,9,9,9
Republic of Haiti,19,19,19
Republic of Honduras,13,13,13
Republic of India,51,51,51
Republic of Indonesia,56,56,56
Republic of Kazakhstan,8,8,8
Republic of Kenya,18,18,18
Republic of Kiribati,2,2,2
Republic of Kosovo,5,5,5
Republic of Liberia,12,12,12
Republic of Madagascar,12,12,12
Republic of Malawi,7,7,7
Republic of Maldives,6,6,6
Republic of Mali,15,15,15
Republic of Mauritius,7,7,7
Republic of Moldova,12,12,12
Republic of Mozambique,31,31,31
Republic of Namibia,4,4,4
Republic of Nicaragua,17,17,17
Republic of Niger,21,21,21
Republic of Panama,5,5,5
Republic of Peru,19,19,19
Republic of Poland,5,5,5
Republic of Rwanda,15,15,15
Republic of Senegal,12,12,12
Republic of Serbia,3,3,3
Republic of Seychelles,8,8,8
Republic of Sierra Leone,5,5,5
Republic of South Sudan,10,10,10
Republic of Tajikistan,25,25,25
Republic of The Gambia,4,4,4
Republic of Togo,10,10,10
Republic of Tunisia,15,15,15
Republic of Turkey,10,10,10
Republic of Uganda,11,11,11
Republic of Uzbekistan,16,16,16
Republic of Vanuatu,6,6,6
Republic of Yemen,34,34,34
Republic of Zambia,9,9,9
Republic of Zimbabwe,3,3,3
Republic of the Marshall Islands,5,5,5
Republic of the Philippines,12,12,12
Republic of the Sudan,10,10,10
Republic of the Union of Myanmar,9,9,9
Romania,2,2,2
Russian Federation,13,13,13
Samoa,9,9,9
Socialist Republic of Vietnam,43,43,43
Solomon Islands,7,7,7
South Asia,5,5,5
The Independent State of Papua New Guine,13,13,13
Tuvalu,4,4,4
Ukraine,8,8,8
Union of the Comoros,11,11,11
United Mexican States,6,6,6
United Republic of Tanzania,28,28,28
West Bank and Gaza,17,17,17
World,7,7,7
